Level ID, Passable Space, Impassable Space, Playble Space Size, Unreachable Space Count, Unreachable Space Size,Room Count, Average Room Size, Biggest Room Size, Smallest Room Size, Decisions Per Room,Corridor Count, Average Corridor Size, Biggest Corridor Size, Smallest Corridor Size
18065,3804,6196,2013,12,1791,18,202,971,7,0.6111111,6,28,74,8
18066,3964,6036,1648,15,2316,25,146.6,731,6,0.76,9,33.22222,95,8
18067,3749,6251,1175,11,2574,29,101.6207,502,6,1.068966,14,57.28571,133,12
18068,3078,6922,556,20,2522,26,114.8846,433,1,0.3076923,5,18.2,46,8
18069,3919,6081,2466,9,1453,17,215.5882,1491,16,0.8235294,7,36.28571,63,21
18070,3324,6676,1227,16,2097,23,132.9565,718,1,0.5652174,6,44.33333,79,16
18071,4052,5948,1986,7,2066,13,299.1538,1054,6,0.7692308,5,32.6,42,21
18072,5724,4276,5501,5,223,14,383.3571,4200,6,1.071429,7,51,96,15
18073,4267,5733,3051,11,1216,21,192.5714,1174,8,0.9047619,10,22.3,62,4
18074,4059,5941,2043,9,2016,27,121.5926,1285,6,1.333333,16,48.5,99,8
18075,3451,6549,1115,13,2336,23,138.5652,793,6,0.7826087,9,29.33333,47,8
18076,4613,5387,4107,7,506,11,407.5454,4031,6,0.5454546,3,43.33333,82,13
18077,4580,5420,4141,7,439,18,232.6111,2048,1,1.111111,9,43.66667,86,11
18078,4959,5041,4281,4,678,10,475.9,3674,6,1.6,8,25,38,10
18079,4028,5972,1302,14,2726,26,140.9231,1122,6,0.8076923,10,36.4,97,13
18080,4296,5704,1973,4,2323,17,231.2941,940,6,1.352941,11,33.09091,64,4
18081,4443,5557,3788,6,655,14,299.9286,2000,6,1.071429,8,30.5,59,8
18082,4206,5794,1719,5,2487,18,213.9444,1035,6,1.277778,11,32.27273,78,10
18083,3565,6435,931,14,2634,24,137.375,781,7,0.75,9,29.77778,106,11
18084,4359,5641,1815,8,2544,20,201.75,1229,20,1.25,13,24.92308,46,7
18085,4202,5798,2819,10,1383,23,160.5217,953,8,0.8695652,10,51,152,8
18086,3711,6289,2293,15,1418,27,123.8889,728,6,0.8888889,12,30.5,90,8
18087,4250,5750,3557,8,693,17,227.7647,2212,9,1,8,47.25,88,18
18088,4586,5414,4153,10,433,22,189.5455,2000,6,1.181818,13,32,73,14
18089,4234,5766,3634,11,600,17,237.8235,1599,12,0.7647059,7,27.28572,51,8
18090,3794,6206,2055,10,1739,21,158.0476,891,6,1.047619,11,43.18182,105,10
18091,4377,5623,2384,13,1993,23,178.087,1782,6,1,11,25.54545,47,12
18092,3799,6201,2393,13,1406,18,201.8889,1235,1,0.6666667,6,27.5,48,8
18093,4366,5634,1956,9,2410,21,191.2857,1310,6,1.238095,14,24.92857,43,4
18094,3621,6379,1945,13,1676,20,166.7,1162,6,0.5,5,57.4,112,17
18095,3906,6094,1047,13,2859,20,170.55,917,9,0.8,8,61.875,121,12
18096,3870,6130,1648,10,2222,23,150.3913,856,12,1.086957,13,31.61539,117,6
18097,4326,5674,1914,7,2412,19,211.4211,1256,6,1.052632,8,38.625,120,9
18098,3601,6399,1204,19,2397,21,166.381,1204,5,0.0952381,1,107,107,107
18099,3840,6160,2458,12,1382,15,253.6667,1358,12,0.3333333,3,11.66667,16,8
18100,3472,6528,1584,11,1888,21,151,580,6,0.8571429,8,37.625,54,22
18101,4038,5962,1703,8,2335,18,200.2222,1500,6,0.8888889,8,54.25,109,8
18102,4108,5892,2875,14,1233,26,141.9231,1763,1,0.7307692,9,46.44444,138,8
18103,3461,6539,2220,9,1241,17,190.0588,1371,12,0.8235294,7,32.85714,76,11
18104,4156,5844,1481,12,2675,22,172.5,650,12,0.9090909,10,36.1,70,12
18105,3359,6641,1788,9,1571,22,131.9545,950,10,1,10,45.6,117,11
18106,3790,6210,1293,10,2497,15,242.8,1095,16,0.5333334,4,37,49,18
18107,5035,4965,4447,6,588,16,291.125,1460,1,1.625,13,29,92,7
18108,3913,6087,1251,11,2662,20,181.25,826,12,0.95,10,28.8,52,8
18109,4249,5751,3011,7,1238,23,164.1739,1233,1,1.130435,11,43,111,8
18110,3297,6703,1631,16,1666,25,122.44,1117,10,0.56,8,29.5,60,4
18111,4199,5801,2537,10,1662,16,247.25,2080,1,0.75,6,40.5,79,12
18112,3814,6186,2407,11,1407,19,190,1736,6,0.6842105,6,34,88,8
18113,4270,5730,4177,5,93,19,202,1286,3,1.157895,9,48,141,8
18114,3991,6009,1641,11,2350,25,145.32,1053,9,1.12,13,27.53846,64,15
18115,3424,6576,2301,14,1123,23,134.0435,1455,9,0.7391304,9,37.88889,79,6
18116,4389,5611,3298,11,1091,20,204.55,1659,6,0.85,9,33.11111,59,8
18117,4433,5567,3471,6,962,25,148.52,917,9,1.4,17,42.35294,89,4
18118,4470,5530,2607,9,1863,20,211.25,1132,6,0.9,9,27.22222,60,8
18119,4361,5639,3189,6,1172,19,212.1053,2013,11,1.315789,13,25.46154,61,8
18120,4580,5420,3614,11,966,19,230.0526,2681,12,0.8421053,8,26.125,45,12
18121,3698,6302,2707,11,991,25,129.76,939,6,1.12,13,34.92308,164,8
18122,3813,6187,2152,14,1661,22,164.4091,799,1,0.6363636,7,28,56,11
18123,3962,6038,2225,11,1737,20,179.5,1151,1,0.7,6,62,90,16
18124,3704,6296,2892,11,812,16,218.375,1775,4,0.625,5,42,94,10
18125,3947,6053,1621,9,2326,22,156.5455,791,11,1.090909,12,41.91667,114,6
18126,4217,5783,2675,11,1542,20,199.25,2595,12,0.8,7,33.14286,61,8
18127,4402,5598,1886,9,2516,18,228.2778,1271,12,0.9444444,8,36.625,75,8
18128,3460,6540,2660,8,800,18,171.5556,1121,6,0.8333333,7,53.14286,172,8
18129,2578,7422,931,21,1647,27,88.55556,619,12,0.3703704,5,37.4,84,13
18130,3378,6622,1680,15,1698,24,129.5833,1199,6,0.5833333,7,38.28571,93,5
18131,3457,6543,1007,13,2450,18,184.0556,658,1,0.5555556,5,28.8,52,16
18132,4044,5956,2524,10,1520,23,156.5217,873,5,1.130435,12,37,100,13
18133,3944,6056,2835,11,1109,25,137.36,1023,1,1,11,46.36364,131,13
18134,3752,6248,1479,13,2273,24,141.4167,1038,9,1,12,29.83333,96,10
18135,3895,6105,2857,12,1038,21,173.5238,929,12,0.8571429,10,25.1,69,5
18136,3777,6223,2135,8,1642,21,157.8095,663,6,1.142857,11,42.09091,104,8
18137,3742,6258,785,13,2957,18,194.3889,719,6,0.4444444,4,60.75,83,19
18138,2938,7062,1289,14,1649,21,126.8095,950,7,0.5238096,6,45.83333,108,20
18139,2973,7027,607,14,2366,25,99.6,514,9,0.8,10,48.3,115,13
18140,3992,6008,1672,13,2320,21,173.9048,541,12,0.7142857,9,37.77778,101,4
18141,4284,5716,2257,8,2027,18,218.5556,1088,12,1.111111,9,38.88889,115,12
18142,3949,6051,1912,9,2037,19,191.6842,708,15,0.8947368,8,38.375,107,15
18143,4283,5717,2703,8,1580,18,218.4444,1771,1,1,9,39,90,13
18144,4130,5870,3310,12,820,21,185.619,2057,12,0.7619048,8,29,48,8
18145,4885,5115,3073,8,1812,18,253.2222,1039,10,1.444444,14,23.35714,41,6
18146,3833,6167,1387,12,2446,27,126.8519,670,12,0.962963,13,31.38461,73,8
18147,4251,5749,2366,9,1885,20,190.45,1498,12,1.15,12,36.83333,100,4
18148,4406,5594,4125,6,281,20,195.65,2043,1,1.2,12,41.08333,86,4
18149,3608,6392,1146,12,2462,20,167.6,957,13,0.7,8,32,103,8
18150,3880,6120,1744,9,2136,16,233.5625,1050,10,0.875,7,20.42857,39,10
18151,3808,6192,2017,10,1791,15,240.7333,1666,12,0.6,5,39.4,86,5
18152,4365,5635,1650,10,2715,20,208,1000,6,0.75,8,25.625,61,6
18153,4351,5649,2388,12,1963,24,168.9583,1108,14,0.875,11,26.90909,63,8
18154,3341,6659,1174,9,2167,21,144.0952,640,10,1.142857,13,24.23077,46,6
18155,4382,5618,3652,8,730,16,259.625,2130,4,0.9375,7,32.57143,61,8
18156,3450,6550,1695,11,1755,20,158.05,784,12,1,10,28.9,82,8
18157,4046,5954,2994,7,1052,16,229.3125,1766,10,1,8,47.125,114,16
18158,3883,6117,2819,11,1064,17,213.7647,958,18,0.9411765,8,31.125,75,8
18159,4012,5988,3412,5,600,15,246.2667,1171,12,1.266667,9,35.33333,74,12
18160,4659,5341,3720,7,939,22,192.2727,879,10,1.318182,15,28.6,93,6
18161,4596,5404,2587,6,2009,21,193.381,1701,6,1.380952,14,38.21429,105,4
18162,3972,6028,1747,8,2225,18,198.5556,816,17,1.111111,10,39.8,96,8
18163,4313,5687,2515,12,1798,24,160.0833,918,6,0.9583333,11,42.81818,73,13
18164,3573,6427,979,11,2594,26,120.4615,655,3,0.9615384,11,40.09091,76,14
18165,5244,4756,4953,4,291,9,565.6667,4320,28,0.7777778,4,38.25,113,4
18166,4062,5938,2383,6,1679,17,219.2941,1075,17,1.117647,10,33.4,98,4
18167,3287,6713,1010,7,2277,24,115.5417,647,6,1.25,13,39.53846,123,8
18168,4629,5371,2698,6,1931,20,209.75,1790,6,1.7,18,24.11111,124,5
18169,4552,5448,2839,5,1713,22,183.6818,570,6,1.454545,16,31.9375,67,8
18170,4178,5822,2601,6,1577,16,242.375,958,6,1.3125,11,27.27273,74,4
18171,3881,6119,2033,13,1848,18,204.6111,1124,16,0.4444444,4,49.5,66,30
18172,3827,6173,1201,10,2626,16,230.3125,737,12,0.625,5,28.4,43,8
18173,4466,5534,4011,10,455,22,185.2273,1474,12,1.090909,11,35.54546,114,5
18174,4239,5761,3411,7,828,15,273.0667,1921,1,0.9333333,7,20.42857,47,10
18175,4227,5773,3451,5,776,16,237.8125,959,6,1.3125,11,38.36364,101,6
18176,3789,6211,2005,9,1784,20,180,1046,6,0.9,8,23.625,38,12
18177,3381,6619,1620,14,1761,19,172.9474,1082,8,0.4210526,4,23.75,34,13
